ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-15T04:53:41Z	BODYAWRR	0	antler	14342000	A	T	core_destroyed	174
2026-08-15T04:53:42Z	BODYAWRR	1	antler	14342000	B	C	core_destroyed	208
2026-08-15T04:53:41Z	BODYAWRR	2	archipelago	14342000	A	C	core_destroyed	99
2026-08-15T04:53:42Z	BODYAWRR	3	archipelago	14342000	B	C	core_destroyed	163
2026-08-15T04:53:46Z	BODYAWRR	4	auroraveil	14342000	A	C	core_destroyed	247
2026-08-15T04:53:45Z	BODYAWRR	5	auroraveil	14342000	B	C	core_destroyed	213
2026-08-15T04:53:49Z	BODYAWRR	6	drakkarfjord	14342000	A	C	tiebreak	1000
2026-08-15T04:53:52Z	BODYAWRR	7	drakkarfjord	14342000	B	T	core_destroyed	483
2026-08-15T04:53:55Z	BODYAWRR	8	drumlin	14342000	A	T	core_destroyed	200
2026-08-15T04:53:56Z	BODYAWRR	9	drumlin	14342000	B	C	core_destroyed	202
2026-08-15T04:53:56Z	BODYAWRR	10	fjordgate	14342000	A	C	tiebreak	1000
2026-08-15T04:53:58Z	BODYAWRR	11	fjordgate	14342000	B	C	tiebreak	1000
2026-08-15T04:54:00Z	BODYAWRR	12	frostgate	14342000	A	T	core_destroyed	122
2026-08-15T04:54:00Z	BODYAWRR	13	frostgate	14342000	B	T	core_destroyed	151
2026-08-15T04:54:01Z	BODYAWRR	14	glacierkeep	14342000	A	T	core_destroyed	179
2026-08-15T04:54:06Z	BODYAWRR	15	glacierkeep	14342000	B	T	core_destroyed	733
2026-08-15T04:54:10Z	BODYAWRR	16	icefloe	14342000	A	T	core_destroyed	241
2026-08-15T04:54:09Z	BODYAWRR	17	icefloe	14342000	B	C	core_destroyed	146
2026-08-15T04:54:09Z	BODYAWRR	18	midgard	14342000	A	C	core_destroyed	90
2026-08-15T04:54:09Z	BODYAWRR	19	midgard	14342000	B	C	core_destroyed	188
2026-08-15T04:54:12Z	BODYAWRR	20	nordkap	14342000	A	C	core_destroyed	267
2026-08-15T04:54:11Z	BODYAWRR	21	nordkap	14342000	B	T	core_destroyed	168
2026-08-15T04:54:12Z	BODYAWRR	22	ragnarok	14342000	A	T	core_destroyed	179
2026-08-15T04:54:13Z	BODYAWRR	23	ragnarok	14342000	B	T	core_destroyed	223
2026-08-15T04:54:15Z	BODYAWRR	24	royale	14342000	A	T	core_destroyed	132
2026-08-15T04:54:14Z	BODYAWRR	25	royale	14342000	B	C	core_destroyed	142
2026-08-15T04:54:17Z	BODYAWRR	26	valkyrie	14342000	A	C	core_destroyed	225
2026-08-15T04:54:15Z	BODYAWRR	27	valkyrie	14342000	B	T	core_destroyed	169
2026-08-15T04:54:20Z	BODYAWRR	28	yulerune	14342000	A	C	core_destroyed	375
2026-08-15T04:54:18Z	BODYAWRR	29	yulerune	14342000	B	C	core_destroyed	132
2026-08-15T04:54:19Z	BODYAWRR	30	antler	14342001	A	C	core_destroyed	179
2026-08-15T04:54:19Z	BODYAWRR	31	antler	14342001	B	T	core_destroyed	163
2026-08-15T04:54:24Z	BODYAWRR	32	archipelago	14342001	A	T	core_destroyed	230
2026-08-15T04:54:22Z	BODYAWRR	33	archipelago	14342001	B	T	core_destroyed	155
2026-08-15T04:54:22Z	BODYAWRR	34	auroraveil	14342001	A	T	core_destroyed	130
2026-08-15T04:54:23Z	BODYAWRR	35	auroraveil	14342001	B	T	core_destroyed	297
2026-08-15T04:54:28Z	BODYAWRR	36	drakkarfjord	14342001	A	C	core_destroyed	293
2026-08-15T04:54:32Z	BODYAWRR	37	drakkarfjord	14342001	B	T	tiebreak	1000
