# corpus/failure_reel.tsv — THE FAILURE REEL MANIFEST.  Append-only, tab-separated.
#
# WHAT IT IS.  Commissioned by Magnus, 2026-08-18: every build report's worst-loss
# replays, each with a cause narrative, collected in ONE place so they can be watched
# later.  The local dashboard serves it at /reel (tools/dash/reel.py); a WATCH link per
# row renders the replay through tools/replay_view.py's generate_html at /reel_view.
#
# WHO WRITES IT.  BUILD AGENTS APPEND, nobody rewrites.  Append your build's ~5 worst
# losses at the end of the build, in the same commit as the build report.  Never edit or
# delete an existing row: a reel row is a banked observation and the page is allowed to
# show a row whose replay has since been deleted (it renders MISSING, not a dead link).
#
# COLUMNS (8, tab-separated, in this order):
#   ts           when THIS ROW was appended, UTC ISO8601 `%Y-%m-%dT%H:%M:%SZ`, from
#                `date -u` in the same shell call.  Never hand-written, never interpolated.
#   build        the build this loss belongs to — the BUILD-REPORT slug, e.g. `v515ecosalt`.
#                The page groups by this field, newest ts first.
#   replay_path  repo-RELATIVE path to the .replay26, e.g.
#                `scratchpad/s51_rush_autopsy/replays/midgard_s1_A.replay26`.
#                Must be inside the repo and end `.replay26`; /reel_view rejects anything else.
#   map          map name, lowercase, as fired.
#   seat         `A` or `B` — which seat WE played.
#   arm          the fired tree/arm label, e.g. `v515log`.  Append `-vs-<opp>` if the reel
#                mixes opponents within one build.
#   cause_class  a SHORT uppercase token, no spaces (e.g. MAG_STARVED, HEAL_OUTRUN,
#                NO_TURRET).  Reuse an existing token when the cause is the same one;
#                a new token means a genuinely new cause.
#   narrative    one plain-text field, NO TABS and no newlines — sanitise before writing.
#                Say what killed us and cite the anchor (file:line, a measured rate, the
#                autopsy section).  This is what a human reads instead of re-deriving.
#
# SANITISING.  `narrative = ' '.join(str(n).split())` collapses every tab/newline/run of
# whitespace and is what the seeder used.  A row with the wrong field count is shown by
# /reel as a MALFORMED row, never silently dropped.
#
# SELECTION.  "Worst loss" is the build's own call, but state it: these seed rows are
# every game in the s51 rush-autopsy grid whose `defence` column is CORE_KILLED (our core
# destroyed) — 12 of 30, no hand-ranking.
#
# ts	build	replay_path	map	seat	arm	cause_class	narrative
2026-08-18T08:33:28Z	v515ecosalt	scratchpad/s51_rush_autopsy/replays/drakkarfjord_s3_A.replay26	drakkarfjord	A	v515log	MAG_STARVED	Our core was destroyed at round 503 (seat A, vs _v488beltbreak2; win condition 'Core destroyed'; forward sentinels built 1, siege shots 60, funded share 0.14, enemy core healed 1080 HP = 1.0 of what we landed). AUTOPSY #1 — the siege magazine is vision-gated: the Core arms the 300-ammo magazine only in phases SEALED/KILL (main.py:503) and the phase counts sentinels through the RAIDER'S BUILDER VISION (siege.py:2585, r^2=20), so with our sentinel demonstrably hitting their core no builder of ours is in vision in 63.4% of 6,094 rounds; magazine armed in only 21.2% of core-hitting rounds, ammo <10 in 78.3%, median ammo 5 with a turret firing vs 20 with nothing to shoot. The turret dies with the bank unspent.
2026-08-18T08:33:28Z	v515ecosalt	scratchpad/s51_rush_autopsy/replays/glacierkeep_s1_A.replay26	glacierkeep	A	v515log	MAG_STARVED	Our core was destroyed at round 681 (seat A, vs _v488beltbreak2; win condition 'Core destroyed'; forward sentinels built 1, siege shots 40, funded share 0.054, enemy core healed 720 HP = 1.0 of what we landed). AUTOPSY #1 — the siege magazine is vision-gated: the Core arms the 300-ammo magazine only in phases SEALED/KILL (main.py:503) and the phase counts sentinels through the RAIDER'S BUILDER VISION (siege.py:2585, r^2=20), so with our sentinel demonstrably hitting their core no builder of ours is in vision in 63.4% of 6,094 rounds; magazine armed in only 21.2% of core-hitting rounds, ammo <10 in 78.3%, median ammo 5 with a turret firing vs 20 with nothing to shoot. The turret dies with the bank unspent.
2026-08-18T08:33:28Z	v515ecosalt	scratchpad/s51_rush_autopsy/replays/glacierkeep_s1_B.replay26	glacierkeep	B	v515log	MAG_STARVED	Our core was destroyed at round 567 (seat B, vs _v488beltbreak2; win condition 'Core destroyed'; forward sentinels built 1, siege shots 14, funded share 0.059, enemy core healed 252 HP = 1.0 of what we landed). AUTOPSY #1 — the siege magazine is vision-gated: the Core arms the 300-ammo magazine only in phases SEALED/KILL (main.py:503) and the phase counts sentinels through the RAIDER'S BUILDER VISION (siege.py:2585, r^2=20), so with our sentinel demonstrably hitting their core no builder of ours is in vision in 63.4% of 6,094 rounds; magazine armed in only 21.2% of core-hitting rounds, ammo <10 in 78.3%, median ammo 5 with a turret firing vs 20 with nothing to shoot. The turret dies with the bank unspent.
2026-08-18T08:33:28Z	v515ecosalt	scratchpad/s51_rush_autopsy/replays/midgard_s1_A.replay26	midgard	A	v515log	MAG_STARVED	Our core was destroyed at round 521 (seat A, vs _v488beltbreak2; win condition 'Core destroyed'; forward sentinels built 1, siege shots 19, funded share 0.056, enemy core healed 0 HP = 0.0 of what we landed). AUTOPSY #1 — the siege magazine is vision-gated: the Core arms the 300-ammo magazine only in phases SEALED/KILL (main.py:503) and the phase counts sentinels through the RAIDER'S BUILDER VISION (siege.py:2585, r^2=20), so with our sentinel demonstrably hitting their core no builder of ours is in vision in 63.4% of 6,094 rounds; magazine armed in only 21.2% of core-hitting rounds, ammo <10 in 78.3%, median ammo 5 with a turret firing vs 20 with nothing to shoot. The turret dies with the bank unspent. EXEMPLAR (named in the autopsy): bank pinned at exactly 80 Ti for 57 rounds, ammo 4, enemy core driven 500->158, turret died with 80 unspent.
2026-08-18T08:33:28Z	v515ecosalt	scratchpad/s51_rush_autopsy/replays/midgard_s2_A.replay26	midgard	A	v515log	HEAL_OUTRUN	Our core was destroyed at round 328 (seat A, vs _v488beltbreak2; win condition 'Core destroyed'; forward sentinels built 1, siege shots 2, funded share 0.4, enemy core healed 36 HP = 1.0 of what we landed). AUTOPSY #3 — funded turret, zero net: in 11 of the 12 failed sieges the defender healed back EXACTLY 100.0% of everything we landed (12,650 dealt / 12,650 healed). One sentinel's ceiling is 9.0 HP/round against measured enemy heal rates of 0.00-9.21, and the second sentinel is arithmetically unreachable (prices ~124 Ti at live scale, rebuy gate ~152, median bank under a standing sentinel 15 Ti) so 0 rounds in 6,094 ever had two core-hitting sentinels.
2026-08-18T08:33:28Z	v515ecosalt	scratchpad/s51_rush_autopsy/replays/midgard_s2_B.replay26	midgard	B	v515log	HEAL_OUTRUN	Our core was destroyed at round 173 (seat B, vs _v488beltbreak2; win condition 'Core destroyed'; forward sentinels built 2, siege shots 7, funded share 0.933, enemy core healed 126 HP = 1.0 of what we landed). AUTOPSY #3 — funded turret, zero net: in 11 of the 12 failed sieges the defender healed back EXACTLY 100.0% of everything we landed (12,650 dealt / 12,650 healed). One sentinel's ceiling is 9.0 HP/round against measured enemy heal rates of 0.00-9.21, and the second sentinel is arithmetically unreachable (prices ~124 Ti at live scale, rebuy gate ~152, median bank under a standing sentinel 15 Ti) so 0 rounds in 6,094 ever had two core-hitting sentinels. midgard-B is a SCRIPTED loss: two seeds produce byte-different replays with identical outcomes; midgard sentinel median life is 15 rounds vs glacierkeep's 236.
2026-08-18T08:33:28Z	v515ecosalt	scratchpad/s51_rush_autopsy/replays/midgard_s3_A.replay26	midgard	A	v515log	NO_TURRET	Our core was destroyed at round 260 (seat A, vs _v488beltbreak2; win condition 'Core destroyed'; forward sentinels built 0, siege shots 0, funded share 0.0, enemy core healed 0 HP = 0.0 of what we landed). AUTOPSY #2 — no forward sentinel is ever bought: `_fs_try_sentinel` scores only the 4 tiles adjacent to the raider's CURRENT tile (siege.py:2828) minus ring tiles, veto and can_fire_from — and the raider lives ON the ring, so its own hand excludes its own candidates. FS SENTINEL fires 0x while FS ARRIVE fires 1-8x. Same reach-class defect as the v515 evictor, purchase-side.
2026-08-18T08:33:28Z	v515ecosalt	scratchpad/s51_rush_autopsy/replays/midgard_s3_B.replay26	midgard	B	v515log	HEAL_OUTRUN	Our core was destroyed at round 173 (seat B, vs _v488beltbreak2; win condition 'Core destroyed'; forward sentinels built 2, siege shots 7, funded share 0.933, enemy core healed 126 HP = 1.0 of what we landed). AUTOPSY #3 — funded turret, zero net: in 11 of the 12 failed sieges the defender healed back EXACTLY 100.0% of everything we landed (12,650 dealt / 12,650 healed). One sentinel's ceiling is 9.0 HP/round against measured enemy heal rates of 0.00-9.21, and the second sentinel is arithmetically unreachable (prices ~124 Ti at live scale, rebuy gate ~152, median bank under a standing sentinel 15 Ti) so 0 rounds in 6,094 ever had two core-hitting sentinels. midgard-B is a SCRIPTED loss: two seeds produce byte-different replays with identical outcomes; midgard sentinel median life is 15 rounds vs glacierkeep's 236.
2026-08-18T08:33:28Z	v515ecosalt	scratchpad/s51_rush_autopsy/replays/nordkap_s1_A.replay26	nordkap	A	v515log	NO_TURRET	Our core was destroyed at round 604 (seat A, vs _v488beltbreak2; win condition 'Core destroyed'; forward sentinels built 0, siege shots 0, funded share 0.0, enemy core healed 0 HP = 0.0 of what we landed). AUTOPSY #2 — no forward sentinel is ever bought: `_fs_try_sentinel` scores only the 4 tiles adjacent to the raider's CURRENT tile (siege.py:2828) minus ring tiles, veto and can_fire_from — and the raider lives ON the ring, so its own hand excludes its own candidates. FS SENTINEL fires 0x while FS ARRIVE fires 1-8x. Same reach-class defect as the v515 evictor, purchase-side.
2026-08-18T08:33:28Z	v515ecosalt	scratchpad/s51_rush_autopsy/replays/nordkap_s2_A.replay26	nordkap	A	v515log	HEAL_OUTRUN	Our core was destroyed at round 597 (seat A, vs _v488beltbreak2; win condition 'Core destroyed'; forward sentinels built 2, siege shots 22, funded share 1.0, enemy core healed 396 HP = 1.0 of what we landed). AUTOPSY #3 — funded turret, zero net: in 11 of the 12 failed sieges the defender healed back EXACTLY 100.0% of everything we landed (12,650 dealt / 12,650 healed). One sentinel's ceiling is 9.0 HP/round against measured enemy heal rates of 0.00-9.21, and the second sentinel is arithmetically unreachable (prices ~124 Ti at live scale, rebuy gate ~152, median bank under a standing sentinel 15 Ti) so 0 rounds in 6,094 ever had two core-hitting sentinels.
