date	opp	oppver	games_covered	doc
2026-08-16	0033	57	60	docs/research/REPLAY-STUDY-0033-2026-08-16.md
2026-08-16	Ouroboros	8	160	docs/research/REPLAY-STUDY-OUROBOROS-2026-08-16.md
2026-08-17	lingling_40h	61	50	docs/research/REPLAY-STUDY-lingling40h-2026-08-17.md
2026-08-17	kladde chatte tville (och oss)	119	65	docs/research/REPLAY-STUDY-kladde-v119-2026-08-17.md
2026-08-17	0033	57	30	docs/research/REPLAY-STUDY-0033-INCREMENTAL-2026-08-17.md
2026-08-17	Jython	157	60	docs/research/REPLAY-STUDY-jython-v157-wider-2026-08-17.md
2026-08-17	Juusto	13	480	docs/research/REPLAY-STUDY-juusto-v13-seal-2026-08-17.md
2026-08-18	0033	57	90	docs/research/REPLAY-STUDY-0033-incremental2-2026-08-18.md
2026-08-20	not adgato	23	80	docs/research/REPLAY-STUDY-notadgato-v23-2026-08-20.md
2026-08-20	gsxWins	65	45	docs/research/REPLAY-STUDY-gsxwins-v65-2026-08-20.md
2026-08-20	gsxWins	58	15	docs/research/REPLAY-STUDY-gsxwins-v65-2026-08-20.md
2026-08-20	gsxWins	53	25	docs/research/REPLAY-STUDY-gsxwins-v65-2026-08-20.md
2026-08-20	gsxWins	22	105	docs/research/REPLAY-STUDY-gsxwins-v65-2026-08-20.md
