ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-12T16:38:54Z	HEALERFIRST	0	antler	118000	A	C	tiebreak	1000
2026-08-12T16:38:56Z	HEALERFIRST	1	antler	118000	B	T	core_destroyed	253
2026-08-12T16:38:57Z	HEALERFIRST	2	atoll	118000	A	T	core_destroyed	132
2026-08-12T16:38:59Z	HEALERFIRST	3	atoll	118000	B	C	core_destroyed	187
2026-08-12T16:39:02Z	HEALERFIRST	4	drumlin	118000	A	T	core_destroyed	289
2026-08-12T16:39:04Z	HEALERFIRST	5	drumlin	118000	B	C	core_destroyed	115
2026-08-12T16:39:05Z	HEALERFIRST	6	fjordgate	118000	A	C	core_destroyed	131
2026-08-12T16:39:06Z	HEALERFIRST	7	fjordgate	118000	B	T	core_destroyed	157
2026-08-12T16:39:09Z	HEALERFIRST	8	heart	118000	A	T	core_destroyed	169
2026-08-12T16:39:26Z	HEALERFIRST	9	heart	118000	B	T	core_destroyed	885
2026-08-12T16:39:28Z	HEALERFIRST	10	hive	118000	A	T	core_destroyed	194
2026-08-12T16:39:30Z	HEALERFIRST	11	hive	118000	B	C	core_destroyed	156
2026-08-12T16:39:32Z	HEALERFIRST	12	meander	118000	A	C	core_destroyed	184
2026-08-12T16:39:33Z	HEALERFIRST	13	meander	118000	B	T	core_destroyed	123
2026-08-12T16:39:35Z	HEALERFIRST	14	nordkap	118000	A	T	core_destroyed	279
2026-08-12T16:39:37Z	HEALERFIRST	15	nordkap	118000	B	C	core_destroyed	292
2026-08-12T16:39:38Z	HEALERFIRST	16	antler	118001	A	C	core_destroyed	501
2026-08-12T16:39:40Z	HEALERFIRST	17	antler	118001	B	C	core_destroyed	232
2026-08-12T16:39:41Z	HEALERFIRST	18	atoll	118001	A	C	core_destroyed	100
2026-08-12T16:39:43Z	HEALERFIRST	19	atoll	118001	B	T	core_destroyed	309
2026-08-12T16:39:44Z	HEALERFIRST	20	drumlin	118001	A	C	core_destroyed	83
2026-08-12T16:39:52Z	HEALERFIRST	21	drumlin	118001	B	T	core_destroyed	422
2026-08-12T16:39:53Z	HEALERFIRST	22	fjordgate	118001	A	T	core_destroyed	158
2026-08-12T16:39:54Z	HEALERFIRST	23	fjordgate	118001	B	C	core_destroyed	421
2026-08-12T16:39:59Z	HEALERFIRST	24	heart	118001	A	T	tiebreak	1000
2026-08-12T16:40:02Z	HEALERFIRST	25	heart	118001	B	T	core_destroyed	252
2026-08-12T16:40:03Z	HEALERFIRST	26	hive	118001	A	C	core_destroyed	136
2026-08-12T16:40:08Z	HEALERFIRST	27	hive	118001	B	T	core_destroyed	384
2026-08-12T16:40:09Z	HEALERFIRST	28	meander	118001	A	T	core_destroyed	214
2026-08-12T16:40:11Z	HEALERFIRST	29	meander	118001	B	C	core_destroyed	139
2026-08-12T16:40:12Z	HEALERFIRST	30	nordkap	118001	A	C	core_destroyed	206
2026-08-12T16:40:13Z	HEALERFIRST	31	nordkap	118001	B	C	core_destroyed	176
2026-08-12T16:40:17Z	HEALERFIRST	32	antler	118002	A	C	tiebreak	1000
2026-08-12T16:40:19Z	HEALERFIRST	33	antler	118002	B	T	tiebreak	1000
2026-08-12T16:40:21Z	HEALERFIRST	34	atoll	118002	A	T	core_destroyed	151
2026-08-12T16:40:23Z	HEALERFIRST	35	atoll	118002	B	T	core_destroyed	894
2026-08-12T16:40:26Z	HEALERFIRST	36	drumlin	118002	A	T	core_destroyed	310
2026-08-12T16:40:30Z	HEALERFIRST	37	drumlin	118002	B	C	core_destroyed	371
2026-08-12T16:40:32Z	HEALERFIRST	38	fjordgate	118002	A	T	core_destroyed	159
2026-08-12T16:40:33Z	HEALERFIRST	39	fjordgate	118002	B	C	core_destroyed	138
2026-08-12T16:40:36Z	HEALERFIRST	40	heart	118002	A	T	core_destroyed	319
2026-08-12T16:40:59Z	HEALERFIRST	41	heart	118002	B	C	core_destroyed	997
2026-08-12T16:41:02Z	HEALERFIRST	42	hive	118002	A	C	core_destroyed	196
2026-08-12T16:41:03Z	HEALERFIRST	43	hive	118002	B	T	tiebreak	164
