ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-12T16:39:56Z	NOAPPROACH	0	antler	119000	A	C	core_destroyed	802
2026-08-12T16:39:58Z	NOAPPROACH	1	antler	119000	B	C	core_destroyed	331
2026-08-12T16:40:02Z	NOAPPROACH	2	atoll	119000	A	C	core_destroyed	217
2026-08-12T16:40:04Z	NOAPPROACH	3	atoll	119000	B	C	core_destroyed	181
2026-08-12T16:40:05Z	NOAPPROACH	4	drumlin	119000	A	C	core_destroyed	118
2026-08-12T16:40:09Z	NOAPPROACH	5	drumlin	119000	B	C	core_destroyed	241
2026-08-12T16:40:11Z	NOAPPROACH	6	fjordgate	119000	A	C	core_destroyed	351
2026-08-12T16:40:14Z	NOAPPROACH	7	fjordgate	119000	B	C	core_destroyed	757
2026-08-12T16:40:18Z	NOAPPROACH	8	heart	119000	A	C	core_destroyed	360
2026-08-12T16:40:21Z	NOAPPROACH	9	heart	119000	B	C	core_destroyed	249
2026-08-12T16:40:27Z	NOAPPROACH	10	hive	119000	A	T	tiebreak	1000
2026-08-12T16:40:35Z	NOAPPROACH	11	hive	119000	B	C	core_destroyed	527
2026-08-12T16:40:38Z	NOAPPROACH	12	meander	119000	A	C	core_destroyed	325
2026-08-12T16:40:39Z	NOAPPROACH	13	meander	119000	B	C	core_destroyed	159
2026-08-12T16:40:44Z	NOAPPROACH	14	nordkap	119000	A	C	core_destroyed	446
2026-08-12T16:40:46Z	NOAPPROACH	15	nordkap	119000	B	C	core_destroyed	215
2026-08-12T16:40:47Z	NOAPPROACH	16	antler	119001	A	C	core_destroyed	118
2026-08-12T16:40:52Z	NOAPPROACH	17	antler	119001	B	C	core_destroyed	434
2026-08-12T16:41:01Z	NOAPPROACH	18	atoll	119001	A	C	tiebreak	1000
2026-08-12T16:41:07Z	NOAPPROACH	19	atoll	119001	B	C	core_destroyed	505
2026-08-12T16:41:13Z	NOAPPROACH	20	drumlin	119001	A	C	core_destroyed	327
2026-08-12T16:41:16Z	NOAPPROACH	21	drumlin	119001	B	C	core_destroyed	170
2026-08-12T16:41:19Z	NOAPPROACH	22	fjordgate	119001	A	C	core_destroyed	480
2026-08-12T16:41:21Z	NOAPPROACH	23	fjordgate	119001	B	C	core_destroyed	286
2026-08-12T16:41:49Z	NOAPPROACH	24	heart	119001	A	T	tiebreak	1000
2026-08-12T16:42:03Z	NOAPPROACH	25	heart	119001	B	C	tiebreak	1000
2026-08-12T16:42:08Z	NOAPPROACH	26	hive	119001	A	C	core_destroyed	324
2026-08-12T16:42:19Z	NOAPPROACH	27	hive	119001	B	C	tiebreak	1000
2026-08-12T16:42:21Z	NOAPPROACH	28	meander	119001	A	T	core_destroyed	288
2026-08-12T16:42:24Z	NOAPPROACH	29	meander	119001	B	C	core_destroyed	407
2026-08-12T16:42:28Z	NOAPPROACH	30	nordkap	119001	A	C	core_destroyed	349
2026-08-12T16:42:31Z	NOAPPROACH	31	nordkap	119001	B	C	core_destroyed	208
2026-08-12T16:42:36Z	NOAPPROACH	32	antler	119002	A	C	core_destroyed	802
2026-08-12T16:42:38Z	NOAPPROACH	33	antler	119002	B	T	core_destroyed	277
2026-08-12T16:42:42Z	NOAPPROACH	34	atoll	119002	A	C	core_destroyed	302
2026-08-12T16:42:45Z	NOAPPROACH	35	atoll	119002	B	C	core_destroyed	294
2026-08-12T16:42:50Z	NOAPPROACH	36	drumlin	119002	A	C	core_destroyed	860
2026-08-12T16:42:58Z	NOAPPROACH	37	drumlin	119002	B	C	core_destroyed	614
2026-08-12T16:43:00Z	NOAPPROACH	38	fjordgate	119002	A	T	tiebreak	1000
2026-08-12T16:43:04Z	NOAPPROACH	39	fjordgate	119002	B	C	tiebreak	1000
2026-08-12T16:43:21Z	NOAPPROACH	40	heart	119002	A	C	core_destroyed	983
2026-08-12T16:43:23Z	NOAPPROACH	41	heart	119002	B	C	core_destroyed	156
2026-08-12T16:43:26Z	NOAPPROACH	42	hive	119002	A	C	core_destroyed	221
2026-08-12T16:43:34Z	NOAPPROACH	43	hive	119002	B	C	core_destroyed	509
2026-08-12T16:43:36Z	NOAPPROACH	44	meander	119002	A	T	core_destroyed	573
2026-08-12T16:43:39Z	NOAPPROACH	45	meander	119002	B	C	core_destroyed	262
2026-08-12T16:43:44Z	NOAPPROACH	46	nordkap	119002	A	T	tiebreak	1000
2026-08-12T16:43:45Z	NOAPPROACH	47	nordkap	119002	B	C	core_destroyed	174
2026-08-12T16:43:47Z	NOAPPROACH	48	antler	119003	A	C	core_destroyed	132
2026-08-12T16:43:54Z	NOAPPROACH	49	antler	119003	B	C	core_destroyed	840
2026-08-12T16:44:00Z	NOAPPROACH	50	atoll	119003	A	C	core_destroyed	396
2026-08-12T16:44:05Z	NOAPPROACH	51	atoll	119003	B	C	core_destroyed	875
2026-08-12T16:44:08Z	NOAPPROACH	52	drumlin	119003	A	C	core_destroyed	239
2026-08-12T16:44:12Z	NOAPPROACH	53	drumlin	119003	B	C	core_destroyed	250
2026-08-12T16:44:13Z	NOAPPROACH	54	fjordgate	119003	A	T	core_destroyed	161
2026-08-12T16:44:15Z	NOAPPROACH	55	fjordgate	119003	B	C	core_destroyed	276
2026-08-12T16:44:25Z	NOAPPROACH	56	heart	119003	A	C	core_destroyed	808
