ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-14T20:25:59Z	SEALFLOOR6	0	antler	308000	A	C	core_destroyed	325
2026-08-14T20:26:01Z	SEALFLOOR6	1	antler	308000	B	T	core_destroyed	153
2026-08-14T20:26:04Z	SEALFLOOR6	2	archipelago	308000	A	C	tiebreak	170
2026-08-14T20:26:06Z	SEALFLOOR6	3	archipelago	308000	B	C	core_destroyed	126
2026-08-14T20:26:07Z	SEALFLOOR6	4	auroraveil	308000	A	C	core_destroyed	142
2026-08-14T20:26:08Z	SEALFLOOR6	5	auroraveil	308000	B	C	core_destroyed	121
2026-08-14T20:26:10Z	SEALFLOOR6	6	drakkarfjord	308000	A	C	core_destroyed	157
2026-08-14T20:26:21Z	SEALFLOOR6	7	drakkarfjord	308000	B	T	core_destroyed	652
2026-08-14T20:26:23Z	SEALFLOOR6	8	drumlin	308000	A	T	core_destroyed	170
2026-08-14T20:26:27Z	SEALFLOOR6	9	drumlin	308000	B	C	core_destroyed	537
2026-08-14T20:26:28Z	SEALFLOOR6	10	fjordgate	308000	A	C	core_destroyed	166
2026-08-14T20:26:29Z	SEALFLOOR6	11	fjordgate	308000	B	T	core_destroyed	202
2026-08-14T20:26:30Z	SEALFLOOR6	12	frostgate	308000	A	T	core_destroyed	149
2026-08-14T20:26:32Z	SEALFLOOR6	13	frostgate	308000	B	C	core_destroyed	176
2026-08-14T20:26:33Z	SEALFLOOR6	14	glacierkeep	308000	A	C	core_destroyed	160
2026-08-14T20:26:35Z	SEALFLOOR6	15	glacierkeep	308000	B	T	core_destroyed	249
2026-08-14T20:26:37Z	SEALFLOOR6	16	icefloe	308000	A	T	core_destroyed	324
2026-08-14T20:26:39Z	SEALFLOOR6	17	icefloe	308000	B	C	core_destroyed	91
2026-08-14T20:26:41Z	SEALFLOOR6	18	midgard	308000	A	T	core_destroyed	115
2026-08-14T20:26:50Z	SEALFLOOR6	19	midgard	308000	B	T	core_destroyed	446
2026-08-14T20:26:56Z	SEALFLOOR6	20	nordkap	308000	A	T	tiebreak	1000
2026-08-14T20:26:58Z	SEALFLOOR6	21	nordkap	308000	B	T	core_destroyed	220
2026-08-14T20:27:01Z	SEALFLOOR6	22	ragnarok	308000	A	T	core_destroyed	114
2026-08-14T20:27:05Z	SEALFLOOR6	23	ragnarok	308000	B	T	core_destroyed	239
2026-08-14T20:27:07Z	SEALFLOOR6	24	royale	308000	A	C	core_destroyed	170
2026-08-14T20:27:08Z	SEALFLOOR6	25	royale	308000	B	T	core_destroyed	134
2026-08-14T20:27:10Z	SEALFLOOR6	26	valkyrie	308000	A	T	core_destroyed	177
2026-08-14T20:27:17Z	SEALFLOOR6	27	valkyrie	308000	B	C	core_destroyed	394
2026-08-14T20:27:18Z	SEALFLOOR6	28	yulerune	308000	A	C	core_destroyed	143
2026-08-14T20:27:20Z	SEALFLOOR6	29	yulerune	308000	B	T	core_destroyed	215
2026-08-14T20:27:23Z	SEALFLOOR6	30	antler	308001	A	T	core_destroyed	524
2026-08-14T20:27:25Z	SEALFLOOR6	31	antler	308001	B	C	core_destroyed	193
2026-08-14T20:27:28Z	SEALFLOOR6	32	archipelago	308001	A	C	core_destroyed	181
2026-08-14T20:27:29Z	SEALFLOOR6	33	archipelago	308001	B	T	core_destroyed	81
2026-08-14T20:27:31Z	SEALFLOOR6	34	auroraveil	308001	A	C	core_destroyed	153
2026-08-14T20:27:32Z	SEALFLOOR6	35	auroraveil	308001	B	C	core_destroyed	111
2026-08-14T20:27:34Z	SEALFLOOR6	36	drakkarfjord	308001	A	T	core_destroyed	165
2026-08-14T20:27:42Z	SEALFLOOR6	37	drakkarfjord	308001	B	C	core_destroyed	896
2026-08-14T20:27:43Z	SEALFLOOR6	38	drumlin	308001	A	T	core_destroyed	213
2026-08-14T20:27:48Z	SEALFLOOR6	39	drumlin	308001	B	C	core_destroyed	549
2026-08-14T20:27:49Z	SEALFLOOR6	40	fjordgate	308001	A	T	core_destroyed	153
2026-08-14T20:27:51Z	SEALFLOOR6	41	fjordgate	308001	B	C	core_destroyed	290
2026-08-14T20:27:53Z	SEALFLOOR6	42	frostgate	308001	A	T	core_destroyed	581
2026-08-14T20:27:56Z	SEALFLOOR6	43	frostgate	308001	B	C	core_destroyed	237
2026-08-14T20:27:58Z	SEALFLOOR6	44	glacierkeep	308001	A	C	core_destroyed	341
2026-08-14T20:28:06Z	SEALFLOOR6	45	glacierkeep	308001	B	T	tiebreak	1000
2026-08-14T20:28:10Z	SEALFLOOR6	46	icefloe	308001	A	C	core_destroyed	322
2026-08-14T20:28:12Z	SEALFLOOR6	47	icefloe	308001	B	C	core_destroyed	143
2026-08-14T20:28:14Z	SEALFLOOR6	48	midgard	308001	A	C	core_destroyed	90
2026-08-14T20:28:16Z	SEALFLOOR6	49	midgard	308001	B	T	core_destroyed	123
2026-08-14T20:28:18Z	SEALFLOOR6	50	nordkap	308001	A	C	core_destroyed	129
2026-08-14T20:28:19Z	SEALFLOOR6	51	nordkap	308001	B	C	core_destroyed	194
2026-08-14T20:29:03Z	SEALFLOOR6	52	ragnarok	308001	A	C	tiebreak	1000
2026-08-14T20:29:07Z	SEALFLOOR6	53	ragnarok	308001	B	T	core_destroyed	180
2026-08-14T20:29:09Z	SEALFLOOR6	54	royale	308001	A	C	core_destroyed	127
2026-08-14T20:29:11Z	SEALFLOOR6	55	royale	308001	B	C	core_destroyed	438
2026-08-14T20:29:14Z	SEALFLOOR6	56	valkyrie	308001	A	C	core_destroyed	394
2026-08-14T20:29:16Z	SEALFLOOR6	57	valkyrie	308001	B	C	core_destroyed	92
2026-08-14T20:29:17Z	SEALFLOOR6	58	yulerune	308001	A	T	core_destroyed	125
2026-08-14T20:29:19Z	SEALFLOOR6	59	yulerune	308001	B	C	core_destroyed	126
2026-08-14T20:29:22Z	SEALFLOOR6	60	antler	308002	A	T	core_destroyed	494
2026-08-14T20:29:23Z	SEALFLOOR6	61	antler	308002	B	T	core_destroyed	154
2026-08-14T20:29:25Z	SEALFLOOR6	62	archipelago	308002	A	C	core_destroyed	91
2026-08-14T20:29:27Z	SEALFLOOR6	63	archipelago	308002	B	T	core_destroyed	95
2026-08-14T20:29:29Z	SEALFLOOR6	64	auroraveil	308002	A	T	core_destroyed	226
2026-08-14T20:29:31Z	SEALFLOOR6	65	auroraveil	308002	B	C	core_destroyed	197
2026-08-14T20:29:34Z	SEALFLOOR6	66	drakkarfjord	308002	A	T	core_destroyed	285
